2019-01-29 06:44:08,217 - root - INFO - DEBUG MODE: ON
[2019-01-29 08:10:42,157]telegram.bot - DEBUG - {'message_id': 461, 'date': 1548720642, 'chat': {'id': 301671941, 'type': 'private', 'username': 'WhiteFish_Shiromi', 'first_name': '白彌'}, 'text': 'Hi!', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 488092227, 'first_name': 'Shiromi Framework 2.0 Testing Bot', 'is_bot': True, 'username': 'shiromi_framework_bot'}}
[2019-01-29 08:10:42,158]telegram.bot - DEBUG - Exiting: send_message
[2019-01-29 08:10:45,885]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:45,886]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:45,886]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (6): api.telegram.org
[2019-01-29 08:10:51,513]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:51,515]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:51,517]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (7): api.telegram.org
[2019-01-29 08:10:57,133]telegram.ext.updater - DEBUG - Timed out getting Updates: Timed out
[2019-01-29 08:10:57,133]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:10:57,134]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - Starting new HTTPS connection (8): api.telegram.org
[2019-01-29 08:11:00,926]telegram.vendor.ptb_urllib3.urllib3.connectionpool - DEBUG - https://api.telegram.org:443 "POST /bot488092227:AAE1lKd5DQrWoetteYmAuO7kNWEvKCxor_g/getUpdates HTTP/1.1" 200 297
[2019-01-29 08:11:00,927]telegram.bot - DEBUG - Getting updates: [243561088]
[2019-01-29 08:11:00,927]telegram.bot - DEBUG - [<telegram.update.Update object at 0x7f8b3e7a3b70>]
[2019-01-29 08:11:00,928]telegram.bot - DEBUG - Exiting: get_updates
[2019-01-29 08:11:00,928]telegram.bot - DEBUG - Entering: get_updates
[2019-01-29 08:11:00,928]telegram.ext.dispatcher - DEBUG - Processing Update: {'update_id': 243561088, 'message': {'message_id': 2225, 'date': 1548720660, 'chat': {'id': -1001106380097, 'type': 'supergroup', 'title': 'testing 2'}, 'text': 'test', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 301671941, 'first_name': '白彌', 'is_bot': False, 'username': 'WhiteFish_Shiromi', 'language_code': 'en'}}}
[2019-01-29 08:11:03,888]telegram.ext.updater - INFO - Received signal 2 (SIGINT), stopping...
[2019-01-29 08:11:03,889]telegram.ext.updater - DEBUG - Stopping Updater and Dispatcher...
[2019-01-29 08:11:03,889]telegram.ext.updater - DEBUG - Requesting Dispatcher to stop...
[2019-01-29 08:11:03,931]telegram.ext.dispatcher - DEBUG - orderly stopping
[2019-01-29 08:11:03,931]telegram.ext.dispatcher - DEBUG - Dispatcher thread stopped
[2019-01-29 08:11:03,932]telegram.ext.updater - DEBUG - dispatcher - ended
[2019-01-29 08:11:03,990]telegram.ext.dispatcher - DEBUG - Waiting for async thread 1/4 to end
[2019-01-29 08:11:03,990]telegram.ext.dispatcher - DEBUG - Closing run_async thread f5134406-65be-443e-92f4-4b96e75c624a_0/4
[2019-01-29 08:11:03,990]telegram.ext.dispatcher - DEBUG - Closing run_async thread f5134406-65be-443e-92f4-4b96e75c624a_1/4
[2019-01-29 08:11:03,990]telegram.ext.dispatcher - DEBUG - Closing run_async thread f5134406-65be-443e-92f4-4b96e75c624a_2/4
[2019-01-29 08:11:03,990]telegram.ext.dispatcher - DEBUG - Closing run_async thread f5134406-65be-443e-92f4-4b96e75c624a_3/4
